timestamp,source_ip,failed_login,unknown_ip,malware_detected,event_type,username
2026-08-09 09:00:01,192.168.1.10,0,0,0,normal_login,karan
2026-08-09 09:01:12,10.10.20.15,2,0,0,login_failure,user1
2026-08-09 09:02:34,185.44.21.77,7,1,0,brute_force,user2
2026-08-09 09:03:45,185.44.21.77,15,1,0,brute_force,user2
2026-08-09 09:04:51,172.16.0.25,1,0,1,malware_detection,user3
2026-08-09 09:05:17,203.0.113.45,12,1,1,suspicious_activity,user4
2026-08-09 09:06:22,10.0.0.55,0,0,0,normal_login,user5
2026-08-09 09:07:41,198.51.100.24,6,1,0,unauthorized_access,user6
2026-08-09 09:08:03,192.168.1.20,11,0,0,login_failure,user7
2026-08-09 09:09:29,203.0.113.88,20,1,1,critical_activity,user8
